,Perception,Headjack,Will,Movement,Name,Persuasion,Top,Awareness,Glasses,Footwear,Power,Charisma,Wisdom,Intelligence,Dexterity,Constitution,Strength,Votes,Generation,Right Hand Accessory,Left Hand Accessory,Front Neck Tattoo,Side Neck Tattoo,Forearm Tattoo,Bicep Tattoo,Piercings,Neckwear,Wristwear,Facial Expression,Facial Hair,Hair Dye,Hair Color,Hair Style,Background,Bottom
24148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24151,Excellent at reading people,Yes,Incredible moral fiber,Can walk and chew gum AT THE SAME TIME (good job!),None,Maintains status quo,Black Cotton Longsleeve Crew,Accepting the impermanence of things,Round Black with Black Lens,Patent Black Leather Combat Cuff Boot,Your grandma beats you at arm-wrestling,5,11,8,4,11,2,1,1,,Dark Wood Staff,,,,,Black Earrings,Leather Choker,Thick Leather,,,Natural,Black,Short Coil,Light Rain,Black Leather Leggings
24152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24153,Excellent at reading people,Yes,Incredible moral fiber,Can walk and chew gum AT THE SAME TIME (good job!),None,Your significant other's mom loves you,Black Leather Tunic with Buttons,Learning to regulate emotions,,Patent Black Leather Combat Cuff Boot,Can take a punch,8,9,8,4,11,3,1,1,,Black Gun,,,,,,,,,Thin,Pink,Dark Brown,Short Coil,Heavy Rain,Green Cotton Wool Slacks with Buckles
24154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24157,Can hear a bee's wings,Yes,Incredible moral fiber,Can walk and chew gum AT THE SAME TIME (good job!),None,You're a bit of a charmer,Black Cotton Longsleeve Crew,Laughing at your mistakes,,Red Patent Leather Neo Combat Boot,I wouldn't mess with you,7,10,10,4,11,6,1,1,,Dark Wood Staff,Shaded Circle,,,,,,Thick Leather,Smirk,Beard,Light Blue,Light Grey,Short Curly Fade,Heavy Rain,Black Cotton Wool Slacks with Buckles
24158,Can hear a bee's wings,Yes,Surprising resilience,Getting the hang of it,None,People smile back at you,Black Leather Moto Jacket with Green Cotton Crew,Accepting the impermanence of things,Black Wayfarer with Black Lens,Black Knee High Leather Boots,Can take a punch,6,11,10,5,8,3,1,1,,Black Short Sai,,,,,,,,,,Natural,Black,Long Afro,Medium Rain,Green Leather Pants with Buckles
24159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24160,Can hear a heartbeat a mile away,Yes,Unshakable resolve,Two left feet,None,Nobody's buying it,Black Leather Moto Jacket with Charcoal Patent Leather Crew,You have walked the manifold path,,White Snakeskin Combat Cuff Boot,You come in like a wrecking ball,2,14,12,3,12,11,1,1,,,,Circle,,,,,,,,Natural,Auburn,Short Pixie,Heavy Rain,Black Cotton Leggings
24161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24167,Can see over the horizon,Yes,Unshakable resolve,A gelatinous blob,None,Could probably convince a small child,White Leather Tank,Accepting the impermanence of things,White Futurist with Mirror Lens,Green Black Patent Leather Neo Combat Boot,Can take a punch,3,11,13,1,12,3,1,1,,Phone,,,,Native Arrows,Silver Earrings,,Studded Leather,,Goatee,Natural,Dark Brown,Short Curly Fade,Heavy Rain,Black Leather Pants with Buckles
24168,Can hear a bee's wings,Yes,True grit,Running circles around enemies,None,Could sell ice to an eskimo,Red Cotton Tank,Laughing at your mistakes,,Green Leather Combat Cuff Boot,Can take a punch,9,10,10,7,9,3,1,1,,Black Gun,,,,Square,Black Earrings,,Studded Leather,Scowl,,Natural,Light Grey,,Heavy Rain,Green Leather Leggings
24169,You've got a bad feeling about this,Yes,Stiff upper lip,Two left feet,None,Your significant other's mom loves you,Black Cotton Longsleeve Crew,Laughing at your mistakes,Translucent Hex with Red Polarized Lens,Patent Black Leather Combat Cuff Boot,Can take a punch,8,10,9,3,7,3,1,1,,Phone,,,,,Black Earrings,Leather Cuff,,,,Natural,Black,Buzz Cut,Light Rain,Green Cotton Martial Arts Pants
24170,Can smell fear,Yes,Incredible moral fiber,Sleep paralysis,None,Maintains status quo,Black Cotton Crewneck Tunic,Appreciation for the complexity of human behavior,Black and Gold Wayfarer with Black Lens,Black Leather Combat Cuff Boot,Scrappy,5,12,14,2,11,5,1,1,Black Submachine Gun,,,,,,,Leather Choker,,,,Natural,Dark Brown,Medium Curly Bob,Light Rain,Green Cotton Wool Slacks with Buckles
24171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24173,Can hear a heartbeat a mile away,Yes,Unshakable resolve,Sleep paralysis,None,People smile back at you,Red Cotton Mandarin Tunic,Accepting the impermanence of things,Black Futurist with Black Lens,Black Leather Combat Cuff Boot,Scrappy,6,11,12,2,12,5,1,1,Black Gun,Black Submachine Gun,,,,,Black Earrings,,,Scowl,,White,Black,Short Afro Fade,Medium Rain,Black Cotton Wool Slacks with Buckles
24174,Can hear a heartbeat a mile away,Yes,Incredible moral fiber,Can walk and chew gum AT THE SAME TIME (good job!),None,You're a bit of a charmer,Red Patent Leather Moto Jacket with White Cotton Crew,Accepting the impermanence of things,Round Black with Black Lens,Green Black Patent Leather Neo Combat Boot,Scrappy,7,11,12,4,11,5,1,1,Black Gun,Black Long Sai,,,,,,,,Scowl,,Green,Light Grey,Buzz Cut,Heavy Rain,Black Cotton Wool Slacks with Buckles
24175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24180,You've got a bad feeling about this,Yes,Last one standing,Getting the hang of it,None,People smile back at you,Black Cotton Tank,Accepting the impermanence of things,,Black Leather Combat Cuff Boot,Scrappy,6,11,9,5,14,5,1,1,,Silver Staff,,,Equality Sign,Shaded Stacking Triangles,Black Earrings,,Thick Leather,Meditative,,Natural,Dark Brown,Short Messy,Heavy Rain,Black Leather Pants with Buckles
24181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24183,Can hear a heartbeat a mile away,Yes,Incredible moral fiber,Two left feet,None,Maintains status quo,Black Cotton Tank,Laughing at your mistakes,White Futurist with Mirror Lens,Red Leather Neo Combat Boot,The gym stops to watch you lift,5,10,12,3,11,8,1,1,,Katana with White Handle and Silver Blade,,,,Equality Sign,,,,,,Natural,Black,Short Sideswept Fringe,Medium Rain,Black Cotton Leggings
24184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24195,Can hear a bee's wings,Yes,Quiet confidence,Two left feet,None,Glossophobia,Red Cotton Tank,Laughing at your mistakes,Black Wayfarer with Black Lens,Black Leather Combat Cuff Boot,Scrappy,4,10,10,3,10,5,1,1,,,,,,,Black Earrings,,Thick Leather,,,Natural,Light Grey,Faux Hawk,Medium Rain,White Cotton Wool Slacks with Buckles
24196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24198,Can hear a bee's wings,Yes,Surprising resilience,A gelatinous blob,None,People smile back at you,White Cotton Tank,Self-induced illusions fade,,Black Knee High Leather Boots,Can put up a fight,6,8,10,1,8,4,1,1,Phone,,,,,Triforce,Silver Earrings,,Studded Leather,Scowl,,Natural,Black,Short Curly Fade,Light Rain,White Leather Pants with Buckles
24199,Can see around corners,Yes,Last one standing,Can walk and chew gum AT THE SAME TIME (good job!),None,Natural born leader,Red Snakeskin Mandarin Tunic,Self-induced illusions fade,Black Wayfarer with Black Lens,Black Leather Combat Cuff Boot,Can put up a fight,10,8,11,4,14,4,1,1,Phone,Black Arm Pole,,,,,,,,Smirk,,Neon Red,Light Brown,Short Updo,Light Rain,Black Cotton Leggings
24200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24206,Can hear a bee's wings,Yes,Quiet confidence,Always picked first,None,You're a bit of a charmer,Red Patent Lather Trench Coat with White Cotton Oxford and Black Tie,Accepting the impermanence of things,,Black Leather Combat Cuff Boot,Can take a punch,7,11,10,8,10,3,1,1,,Katana with Black Handle and Silver Blade,,,,,,,,,,Natural,Light Brown,Short Messy,Medium Rain,Black Cotton Wool Slacks with Buckles
24207,Can see around corners,Yes,Unshakable resolve,Pretty light on your feet,None,You're a bit of a charmer,Black Leather Longsleeve Crew,Learning to regulate emotions,Round Black with Black Lens,Patent White Leather Combat Cuff Boot,People get out of your way,7,9,11,6,12,7,1,1,,,,Borromean Rings,,,,,Thick Leather,,,Natural,Dark Brown,Short Pixie,Light Rain,Green Cotton Wool Slacks with Buckles
24208,"You read the instructions, twice",Yes,Steps forward as others flee,Sleep paralysis,None,Maintains status quo,Green Patent Leather Trench Coat with Black Cotton Tank,Appreciation for the complexity of human behavior,Black and Gold Wayfarer with Black Lens,Black Leather Combat Cuff Boot,Scrappy,5,12,4,2,13,5,1,1,,,,,,,Silver Eyebrow Ring,,,,Goatee,Natural,Black,Asymmetrical Bob,Heavy Rain,Black Cotton Leggings
24209,The world has come into focus,Yes,Quiet confidence,Running circles around enemies,None,Maintains status quo,Black Wool Mandarin Trench Coat,Reality is seen as it is,Black and Gold Wayfarer with Black Lens,Black Patent Leather Neo Combat Boot,Can put up a fight,5,15,5,7,10,4,1,1,Katana with Black Handle and Silver Blade,,,,,,Black Eyebrow Ring,,,,,Natural,Light Grey,Short Afro Fade,Heavy Rain,Black Leather Pants with Buckles
24210,Can see around corners,Yes,Quiet confidence,Sleep paralysis,None,Natural born leader,Green Leather Mandarin Trench Coat,Laughing at your mistakes,Black Wayfarer with Black Lens,Black Leather Neo Combat Boot,I wouldn't mess with you,10,10,11,2,10,6,1,1,Dark Wood Staff,,,,,,,,,Smirk,,Natural,Dark Brown,Short Curly Fade,Light Rain,Green Cotton Wool Slacks with Buckles
24211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24212,Can hear a bee's wings,Yes,True grit,Two left feet,None,Everything is always an option,Black Leather Longsleeve Crew,You know the sound of one hand clapping,,Black Snakeskin Neo Combat Boot,Scrappy,12,13,10,3,9,5,1,1,Black Gun,Katana with White Handle and Silver Blade,,,,,Black Earrings,,,Smirk,,Natural,Dark Brown,Low Ponytail,Medium Rain,Red Cotton Wool Slacks with Buckles
24213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24214,Can see around corners,Yes,Incredible moral fiber,Pretty light on your feet,None,People smile back at you,Red Patent Leather Tank,Laughing at your mistakes,White Futurist with Mirror Lens,Patent Red Leather Combat Cuff Boot,Can take a punch,6,10,11,6,11,3,1,1,Phone,,Shaded Triangle,,Triforce,Stacking Triangles,,,,,,Natural,Dark Brown,Short Curly Fade,Medium Rain,Red Patent Leather Pants with Buckles
24215,Can hear a bee's wings,Yes,Quiet confidence,Getting the hang of it,None,You're a bit of a charmer,Black Cotton Crewneck Tunic,Laughing at your mistakes,Black Wayfarer with Black Lens,Patent Green Leather Combat Cuff Boot,Your grandma beats you at arm-wrestling,7,10,10,5,10,2,1,1,,Katana with White Handle and White Blade,Intersecting Triangles,Alchemy,,,,,,,,Natural,Dark Brown,Buzz Cut,Heavy Rain,Green Cotton Leggings
24216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24218,You've got a bad feeling about this,Yes,Incredible moral fiber,Two left feet,None,You're a bit of a charmer,Black Cotton Tunic with Buttons,Learning to regulate emotions,Round Black with Black Lens,Green Leather Neo Combat Boot,Your grandma beats you at arm-wrestling,7,9,9,3,11,2,1,1,Katana with Black Handle and Silver Blade,Dark Wood Staff,,,,,,,,,Mustache,Natural,Dark Brown,Low Ponytail,Light Rain,Red Cotton Wool Slacks with Buckles
24219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24220,Can hear a heartbeat a mile away,Yes,Stiff upper lip,Two left feet,None,You're a bit of a charmer,White Leather Trench Coat with Purple Cotton Oxford and Green Tie,Appreciation for the complexity of human behavior,Round Black with Black Lens,Green Black Patent Leather Neo Combat Boot,Can take a punch,7,12,12,3,7,3,1,1,Black Shotgun,,,,,,,,,,,Natural,Light Brown,Short Messy,Light Rain,Green Patent Leather Pants with Buckles
24221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24222,"You read the instructions, twice",Yes,True grit,A gelatinous blob,None,Natural born leader,Black Cotton Longsleeve Crew,Accepting the impermanence of things,Black Wayfarer with Black Lens,Black Knee High Leather Boots,Scrappy,10,11,4,1,9,5,1,1,Black Submachine Gun,Silver Staff,,,,,,,Thick Leather,,,Natural,Light Brown,Bob with Fringes,Medium Rain,White Cotton Wool Slacks with Buckles
24223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24224,You've got a bad feeling about this,Yes,Unshakable resolve,Sleep paralysis,None,Maintains status quo,Red Patent Leather Moto Jacket with Red Cotton Crew,Accepting the impermanence of things,Round Silver with Mirror Lens,Black Knee High Leather Boots,Scrappy,5,11,9,2,12,5,1,1,Dark Wood Staff,Phone,,,,,,,,Scowl,,Pink,Light Grey,Asymmetrical Bob,Heavy Rain,Green Cotton Leggings
24225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24226,Can see around corners,Yes,Incredible moral fiber,Two left feet,None,Nobody's buying it,Black Cotton Tank,Laughing at your mistakes,Round Silver with Mirror Lens,Black Leather Combat Cuff Boot,Your grandma beats you at arm-wrestling,2,10,11,3,11,2,1,1,Katana with Black Handle and Silver Blade,Black Submachine Gun,,Equality Sign,Sierpiński Triangle,Intersecting Squares,Black Eyebrow Ring,,,Scowl,,Natural,Black,Long Messy,Light Rain,Black Cotton Martial Arts Pants
24227,Can hear a heartbeat a mile away,Yes,Unshakable resolve,Two left feet,None,People follow you blindly,Red Leather Tank,Laughing at your mistakes,White Futurist with Mirror Lens,Black Leather Combat Cuff Boot,I wouldn't mess with you,11,10,12,3,12,6,1,1,Silver Long Sai,Black Gun,,,Triangle,,Black Earrings,,Thick Leather,,,Natural,Auburn,Short Afro Fade,Light Rain,Black Cotton Martial Arts Pants
24228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24231,You've got a bad feeling about this,Yes,True grit,A gelatinous blob,None,Glossophobia,Black Wool Mandarin Trench Coat,Laughing at your mistakes,Black Wayfarer with Black Lens,Red Knee High Leather Boots,People get out of your way,4,10,9,1,9,7,1,1,Black Submachine Gun,Katana with Black Handle and Silver Blade,,,,,,,,,Stubble,Neon Red,Dark Brown,Faux Hawk,Medium Rain,Black Leather Pants with Buckles
24232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24234,Can hear a bee's wings,Yes,Unshakable resolve,Can walk and chew gum AT THE SAME TIME (good job!),None,Could probably convince a small child,Black Wool Mandarin Trench Coat,Laughing at your mistakes,,Black Leather Combat Cuff Boot,Can take a punch,3,10,10,4,12,3,1,1,Black Short Sai,Phone,,,,,,,,Smirk,,Natural,Blonde,Short Curly Fade,Medium Rain,Black Cotton Leggings
24235,Can hear a bee's wings,Yes,True grit,Running circles around enemies,None,Maintains status quo,Black Leather Trench Coat with White Cotton Oxford and Black Tie,Laughing at your mistakes,,Black Leather Combat Cuff Boot,Scrappy,5,10,10,7,9,5,1,1,,Silver Staff,,,,,,,,,Stubble,Natural,Blonde,,Light Rain,Green Cotton Wool Slacks with Buckles
24236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24237,Can hear a heartbeat a mile away,Yes,Unshakable resolve,Getting the hang of it,None,Glossophobia,Black Cotton Martial Arts Top,Accepting the impermanence of things,Round Black with Black Lens,Black Snakeskin Combat Cuff Boot,Paper hands,4,11,12,5,12,1,1,1,,,,,,,"Black Nose, Lip, Forehead",,,Smirk,,Pink,Black,Long Afro,Light Rain,Red Cotton Martial Arts Pants
24238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24241,Can see around corners,Yes,Incredible moral fiber,Pretty light on your feet,None,Your significant other's mom loves you,Black Leather Moto Jacket with Charcoal Leather Crew,Accepting the impermanence of things,,Black Leather Neo Combat Boot,The gym stops to watch you lift,8,11,11,6,11,8,1,1,,,,,,,Black Earrings,,,Meditative,,Natural,Auburn,Short Messy,Heavy Rain,Red Cotton Wool Slacks with Buckles
24242,Excellent at reading people,Yes,Can eat just one potato chip,Pretty light on your feet,None,People follow you blindly,Black Leather Moto Jacket with Green Cotton Crew,Appreciation for the complexity of human behavior,,Black Leather Combat Cuff Boot,Can take a punch,11,12,8,6,15,3,1,1,,Katana with Black Handle and White Blade,,,,,"Black Nose, Lip",,,Scowl,,Pink,Black,Medium Curly Bob,Medium Rain,White Cotton Wool Slacks with Buckles
24243,Can hear a heartbeat a mile away,Yes,Incredible moral fiber,A gelatinous blob,None,Natural born leader,Green Cotton Longsleeve Crew,Appreciation for the complexity of human behavior,,Green Knee High Leather Boots,I wouldn't mess with you,10,12,12,1,11,6,1,1,,,,,,,,,,Smirk,Stubble,Green,Light Brown,Short Updo,Light Rain,Black Cotton Wool Slacks with Buckles
24244,Can see around corners,Yes,Surprising resilience,A gelatinous blob,None,People smile back at you,Green Leather Mandarin Tunic,Laughing at your mistakes,,Black Leather Combat Cuff Boot,Can take a punch,6,10,11,1,8,3,1,1,Silver Gun,Black Long Sai,,,,,,,,Meditative,,Natural,Blonde,Pulled Back Short,Medium Rain,Green Cotton Wool Slacks with Buckles
24245,Can see around corners,Yes,Steps forward as others flee,Sleep paralysis,None,Could sell ice to an eskimo,Black Snakeskin Crewneck Tunic,Accepting the impermanence of things,,Green Knee High Leather Boots,Can put up a fight,9,11,11,2,13,4,1,1,,Phone,,,,,,,,,Stubble,Natural,Light Grey,,Light Rain,Red Cotton Wool Slacks with Buckles
24246,Can smell fear,Yes,Incredible moral fiber,Pretty light on your feet,None,Could win a presidency without a political background,Black Cotton Mandarin Tunic,You know the sound of one hand clapping,Black Wayfarer with Black Lens,Black Leather Combat Cuff Boot,Can take a punch,15,13,14,6,11,3,1,1,Phone,Black Shotgun,,,,,,,,Smirk,,Natural,Blonde,Low Ponytail,Medium Rain,Red Cotton Leggings
24247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24248,Can see around corners,Yes,Can eat just one potato chip,Two left feet,None,Could sell ice to an eskimo,Black Cotton Tunic with Buttons,Accepting the impermanence of things,Round Black with Black Lens,Black Patent Leather Neo Combat Boot,Can put up a fight,9,11,11,3,15,4,1,1,Phone,Black Short Sai,,Triangle,,,,,,,,Neon Red,Black,Short Pixie,Light Rain,Black Leather Pants with Buckles
24249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24250,Excellent at reading people,Yes,Incredible moral fiber,Sleep paralysis,None,People smile back at you,Black Cotton Longsleeve Crew,Accepting the impermanence of things,Black Futurist with Black Lens,Black Leather Neo Combat Boot,The gym stops to watch you lift,6,11,8,2,11,8,1,1,,Phone,,,,,Black Eyebrow Ring,,,,,Green,Black,Bob with Fringes,Light Rain,Red Cotton Wool Slacks with Buckles
24251,Can hear a bee's wings,Yes,Quiet confidence,Getting the hang of it,None,You're a bit of a charmer,Black Cotton Tank,Accepting the impermanence of things,Round Silver with Mirror Lens,Black Patent Leather Neo Combat Boot,Can take a punch,7,11,10,5,10,3,1,1,,,,,Intersecting Triangles,Interlocking Circles,,,,,,Natural,Black,,Heavy Rain,Green Cotton Wool Slacks with Buckles
24252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24258,Can see around corners,Yes,Quiet confidence,Two left feet,None,You're a bit of a charmer,Black Leather Mandarin Tunic,Reality is seen as it is,,Green Black Patent Leather Neo Combat Boot,Scrappy,7,15,11,3,10,5,1,1,,,,,,,,Leather Choker,,,,Light Purple,Light Brown,Faux Hawk,Medium Rain,Black Patent Leather Leggins
24259,Excellent at reading people,Yes,Quiet confidence,Two left feet,None,Could sell ice to an eskimo,Black Cotton Mandarin Tunic,Laughing at your mistakes,,Patent Red Leather Combat Cuff Boot,I wouldn't mess with you,9,10,8,3,10,6,1,1,Gold Short Sai,,,,,,Black Earrings,,,Scowl,,Natural,Dark Brown,Short Pixie,Heavy Rain,Red Cotton Leggings
24260,Can see around corners,Yes,Incredible moral fiber,Getting the hang of it,None,People smile back at you,Black Cotton Tunic with Buttons,Laughing at your mistakes,,Black Knee High Leather Boots,Can take a punch,6,10,11,5,11,3,1,1,Phone,,,Interlocking Circles,,,,,,Meditative,,White,Black,Short Curly Fade,Heavy Rain,Black Cotton Leggings
24261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24263,Can hear a bee's wings,Yes,People think of you in their time of need,Can walk and chew gum AT THE SAME TIME (good job!),None,You're a bit of a charmer,Red Cotton Mandarin Tunic,Laughing at your mistakes,,Black Leather Combat Cuff Boot,Can put up a fight,7,10,10,4,17,4,1,1,,Silver Arm Pole,,,,,,,,,Goatee,Natural,Black,Short Curly Fade,Light Rain,Green Patent Leather Pants with Buckles
24264,You've got a bad feeling about this,Yes,Unshakable resolve,Running circles around enemies,None,People smile back at you,Black Patent Lather Trench Coat with Black Cotton Oxford and White Tie,Accepting the impermanence of things,Black Wayfarer with Black Lens,Patent Black Leather Combat Cuff Boot,Scrappy,6,11,9,7,12,5,1,1,,Phone,,,,,"Gold Nose, Lip",,,,,Natural,Light Brown,Long Straight Bangs,Medium Rain,White Cotton Leggings
24265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24268,Can see around corners,Yes,Steps forward as others flee,Running circles around enemies,None,Natural born leader,Green Cotton Tank,Learning to regulate emotions,Black Neo with Black Lens,Black Patent Leather Neo Combat Boot,Can take a punch,10,9,11,7,13,3,1,1,,,,,Equality Sign,Equality Sign,,,,,,Natural,Black,Braids,Heavy Rain,Black Patent Leather Pants with Buckles
24269,Can see around corners,Yes,Quiet confidence,Can walk and chew gum AT THE SAME TIME (good job!),None,Your significant other's mom loves you,Black Cotton Mandarin Tunic,Accepting the impermanence of things,Black Neo with Mirror Lens,Black Patent Leather Knee High Boots,Your grandma beats you at arm-wrestling,8,11,11,4,10,2,1,1,,,,,,,,,,,Goatee,White,Black,Low Ponytail,Light Rain,Black Cotton Leggings
24270,Can see over the horizon,Yes,True grit,Two left feet,None,Could probably convince a small child,Black Leather Tank,Accepting the impermanence of things,Black Neo with Mirror Lens,Black Patent Leather Neo Combat Boot,Can take a punch,3,11,13,3,9,3,1,1,,Phone,,Triforce,Triforce,,,,Thick Leather,Scowl,,Natural,Black,Short Afro Fade,Light Rain,White Cotton Leggings
24271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24272,Can smell fear,Yes,Incredible moral fiber,A gelatinous blob,None,Glossophobia,Red Leather Tank,Accepting the impermanence of things,Round Black with Black Lens,Black Leather Combat Cuff Boot,The gym stops to watch you lift,4,11,14,1,11,8,1,1,,,,,Alchemy,Sierpiński Triangle,,Leather Cuff,Thick Leather,Smirk,,Natural,Black,Short Sideswept Fringe,Light Rain,Green Cotton Leggings
24273,Heightened senses,Yes,Quiet confidence,Getting the hang of it,None,You win without playing,Black Snakeskin Trench Coat with Red Cotton Tank,Learning to regulate emotions,Round Silver with Mirror Lens,Patent Black Leather Combat Cuff Boot,Scrappy,14,9,7,5,10,5,1,1,Black Long Sai,Katana with White Handle and Silver Blade,,,,,"Black Nose, Lip, Forehead",Leather Choker,,,,Natural,Black,Long Messy,Medium Rain,Black Cotton Wool Slacks with Buckles
24274,Can hear a bee's wings,Yes,Steps forward as others flee,Can walk and chew gum AT THE SAME TIME (good job!),None,Your significant other's mom loves you,Black Leather Moto Jacket with Red Cotton Crew,Accepting the impermanence of things,Black Neo with Mirror Lens,Black Knee High Leather Boots,People get out of your way,8,11,10,4,13,7,1,1,Dark Wood Staff,,Sierpiński Triangle,,,,Silver Eyebrow Ring,,,,,Natural,Black,Short Pixie,Light Rain,Black Snakeskin Pants with Buckles
24275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24277,Can hear a bee's wings,Yes,True grit,Two left feet,None,Your significant other's mom loves you,Black Patent Lather Trench Coat with Black Cotton Oxford and Red Tie,Laughing at your mistakes,,Black Leather Combat Cuff Boot,Your grandma beats you at arm-wrestling,8,10,10,3,9,2,1,1,,Katana with Black Handle and Silver Blade,,,,,,,,Meditative,,Green,Black,Short Pixie,Light Rain,Green Leather Leggings
